dl_los,dl_del_ms,ul_rat_kb,ul_jit_ms,ul_del_ms,dl_rat_kb,dl_jit_ms,ul_los,QoE,availableQualityLevels,bufferSizeWhenStart,clen_audio,clen_video,dur,getVideoLoadedFraction,httpInfo,join_time,player_load_time,resolution,stallingNumber,timeout,totalStallDuration,ts_firstBuffering,ts_onPlayerReadyEvent,ts_onYTIframeAPIReady,ts_startPlaying,ts_start_js,bitrate_switches
,2444.0,7200.0,30.0,593.0,800.0,120.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,14708.0,hd1080,0.0,no,0.0,1518189229163.0,1518189229033.0,1518189219424.0,0.0,1518189214325.0,1.0
18.0,1746.0,800.0,120.0,223.0,5600.0,120.0,9.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,15360.0,hd1080,0.0,no,0.0,1518189259789.0,1518189259740.0,1518189253221.0,0.0,1518189244380.0,1.0
,350.0,5600.0,270.0,741.0,3200.0,30.0,15.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,8626.0,hd1080,0.0,no,0.0,1518189284256.0,1518189284148.0,1518189277824.0,0.0,1518189275522.0,1.0
12.0,1746.0,7200.0,180.0,593.0,,30.0,27.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,7122.0,hd1080,0.0,no,0.0,1518189306875.0,1518189306769.0,1518189304004.0,0.0,1518189299647.0,1.0
24.0,2444.0,800.0,240.0,149.0,4800.0,240.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,310000.0,hd1080,0.0,no,0.0,0.0,0.0,1518189333634.0,0.0,1518189322777.0,0.0
18.0,699.0,3200.0,210.0,75.0,800.0,30.0,21.0,0.0,,0.0,476991.0,1750497.0,60.101,0.0,,310000.0,15577.0,hd1080,0.0,no,0.0,1518189368464.0,1518189368420.0,1518189354136.0,0.0,1518189352843.0,1.0
15.0,350.0,2400.0,270.0,1.0,2400.0,60.0,15.0,1.0,,0.08805972630983855,476991.0,839533.0,60.101,1.0,,7054.0,4612.0,tiny,0.0,no,0.0,1518189415652.0,1518189415589.0,1518189412291.0,1518189422706.0,1518189410977.0,1.0
6.0,2095.0,1600.0,30.0,149.0,3200.0,180.0,15.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,7343.0,hd1080,0.0,no,0.0,1518189474528.0,1518189474479.0,1518189469376.0,0.0,1518189467136.0,1.0
27.0,1397.0,3200.0,270.0,297.0,3200.0,150.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,15274.0,hd1080,0.0,no,0.0,1518189505661.0,1518189505551.0,1518189500529.0,0.0,1518189490277.0,1.0
3.0,1397.0,4000.0,180.0,519.0,7200.0,270.0,6.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,11709.0,hd1080,0.0,no,0.0,1518189533155.0,1518189533109.0,1518189527056.0,0.0,1518189521400.0,1.0
15.0,3142.0,800.0,90.0,75.0,2400.0,,15.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,13447.0,hd1080,0.0,no,0.0,1518189562040.0,1518189561997.0,1518189551894.0,0.0,1518189548550.0,1.0
9.0,1.0,3200.0,90.0,667.0,5600.0,210.0,3.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,7125.0,hd1080,0.0,no,0.0,1518189584889.0,1518189584826.0,1518189582308.0,0.0,1518189577701.0,1.0
24.0,1746.0,2400.0,180.0,75.0,1600.0,210.0,18.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,19283.0,hd1080,0.0,no,0.0,1518189620214.0,1518189620147.0,1518189606637.0,0.0,1518189600864.0,1.0
21.0,1.0,3200.0,90.0,519.0,7200.0,,9.0,1.0,,0.08805972630983855,476991.0,839533.0,60.101,1.0,,8189.0,5074.0,tiny,0.0,no,0.0,1518189676506.0,1518189676455.0,1518189673959.0,1518189684695.0,1518189671381.0,1.0
21.0,3142.0,2400.0,120.0,519.0,6400.0,150.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,,310000.0,19032.0,hd1080,0.0,no,0.0,1518189755704.0,1518189755565.0,1518189740253.0,0.0,1518189736533.0,0.0
12.0,2793.0,4000.0,210.0,371.0,3200.0,90.0,24.0,0.0,,0.0,0.0,0.0,0.0,0.0,,310000.0,29064.0,hd1080,0.0,no,0.0,1518189800769.0,1518189800698.0,1518189777415.0,0.0,1518189771634.0,0.0
21.0,699.0,,90.0,1.0,2400.0,120.0,9.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,9321.0,hd1080,0.0,no,0.0,1518189826160.0,1518189826094.0,1518189818289.0,0.0,1518189816773.0,1.0
12.0,1397.0,6400.0,120.0,445.0,2400.0,30.0,12.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,17955.0,hd1080,0.0,no,0.0,1518189885870.0,1518189885802.0,1518189882494.0,0.0,1518189867847.0,1.0
12.0,1397.0,6400.0,60.0,1.0,800.0,60.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,9087.0,hd1080,0.0,no,0.0,1518189911097.0,1518189911046.0,1518189904874.0,0.0,1518189901959.0,1.0
9.0,3142.0,5600.0,270.0,445.0,7200.0,30.0,18.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,25975.0,hd1080,0.0,no,0.0,1518189953147.0,1518189953089.0,1518189940544.0,0.0,1518189927114.0,1.0
9.0,3491.0,7200.0,120.0,667.0,4000.0,30.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,,310000.0,26696.0,hd1080,0.0,no,0.0,1518189996065.0,1518189995956.0,1518189981882.0,0.0,1518189969260.0,0.0
21.0,1746.0,6400.0,60.0,667.0,1600.0,90.0,3.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,11506.0,hd1080,0.0,no,0.0,1518190022965.0,1518190022894.0,1518190016366.0,0.0,1518190011388.0,1.0
18.0,1746.0,5600.0,270.0,593.0,,90.0,3.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,14116.0,hd1080,0.0,no,0.0,1518190052633.0,1518190052607.0,1518190043075.0,0.0,1518190038491.0,1.0
